Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;42900;-1,29;32436348900;748768;-560;43520;43760;42840;43319,62;BANCO BANCOLOMBIA
ECOPETROL;2010;-0,25;15269331450;7539898;-5;2020;2045;2005;2025,14;ECOPETROL
PFGRUPSURA;38000;-2,56;14830835440;389232;-1000;38500;38900;37400;38102,82;GRUPO SURA
BCOLOMBIA;46240;0,52;10245517820;220175;240;46660;46800;46240;46533,52;BANCO BANCOLOMBIA
GRUPOARGOS;20380;-0,59;7710519800;381395;-120;20400;20400;20120;20216,63;GRUPO ARGOS
GRUPOSURA;39320;-2,67;6324023180;159942;-1080;40400;40400;39260;39539,48;GRUPO SURA
CEMARGOS;9860;2,71;3989995410;406911;260;9850;9890;9650;9805,57;CEMENTOS ARGOS
PEI;74000;-;1954940620;26350;-;74000;74500;74000;74191,29;PEI
GEB;2850;-;1223983475;429879;-;2850;2850;2825;2847,27;GRUPO ENERGIA BOGOTA
ISA;18900;-1,66;1203429160;62557;-320;19200;19500;18900;19237,32;ISA INTERCONEXION ELECTRICA
PFGRUPOARG;15600;-;846235900;54376;-;15620;15620;15380;15562,67;GRUPO ARGOS
CORFICOLCF;16980;-2,97;700590840;41060;-520;17300;17300;16980;17062,61;CORFICOLOMBIANA
TERPEL;12500;-0,32;511036140;40788;-40;12560;12560;12500;12529,08;ORGANIZACION TERPEL
PFDAVVNDA;20560;0,29;494624520;24020;60;20700;20700;20320;20592,19;BANCO DAVIVIENDA
CELSIA;3770;0,13;404242105;107557;5;3765;3770;3740;3758,4;CELSIA
MINEROS;5400;0,37;380204120;70409;20;5380;5400;5380;5399,94;MINEROS
CONCONCRET;497;0,2;307511169;623854;1;494;499;490;492,92;CONCONCRETO S.A
PFAVAL;590;-1,67;253672083;426615;-10;600;601;590;594,62;GRUPO AVAL ACCIONES Y VALORES
BOGOTA;30500;-0,65;250851660;8230;-200;30800;30800;30300;30480,15;BANCO DE BOGOTA
ICOLCAP;15858;-0,26;191321292;12015;-42;15932;15932;15858;15923,54;FONDO BURSATIL ISHARES COLCAP
EXITO;1880;0,8;179877165;94835;15;1895;1910;1880;1896,74;EXITO
BVC;12500;-0,79;114760520;9139;-100;12600;12600;12500;12557,23;BOLSA DE VALORES DE COLOMBIA
GRUBOLIVAR;75000;-;107617960;1435;-;75000;75000;75000;74995,09;GRUPO BOLIVAR
CNEC;10980;0,92;78888060;7191;100;10880;10980;10880;10970,39;CANACOL ENERGY LTD
BHI;313;0,32;64415398;206130;1;312;313;312;312,5;BAC HOLDING INTERNATIONAL CORP
PFCEMARGOS;9730;-2,7;35961410;3677;-270;9730;9730;9730;9780,1;CEMENTOS ARGOS
PFCORFICOL;17280;0,12;34216920;1981;20;17280;17280;17280;17272,55;CORFICOLOMBIANA
GRUPOAVAL;596;-0,17;23073000;38688;-1;596;596;596;596,39;GRUPO AVAL ACCIONES Y VALORES
ENKA;-;-;17447309,8;1032305;-;-;-;-;16,9;ENKA DE COLOMBIA
NUTRESA;-;-;11391500;97;-;-;-;-;117438,14;GRUPO NUTRESA
ETB;-;-;5563361;106292;-;-;-;-;52,34;ETB
PROMIGAS;-;-;5043690;726;-;-;-;-;6947,23;PROMIGAS
VILLAS;-;-;3395840;1516;-;-;-;-;2240;BANCO AV VILLAS
HCOLSEL;-;-;3345097;196;-;-;-;-;17066,82;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P
GXTESCOL;-;-;1142900;22;-;-;-;-;51950;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF
