Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFBCOLOM;44000;-1,12;32413875940;735517;-500;44000;44500;43720;44069,51;BANCO BANCOLOMBIA;EQTY
ECOPETROL;1840;-;22093526825;12025099;-;1850;1860;1830;1837,28;ECOPETROL;EQTY
PFGRUPOARG;16460;-1,44;15220175020;924977;-240;16520;16520;16280;16454,65;GRUPO ARGOS;EQTY
ICOLCAP;16956;-0,02;13807717765;817146;-4;16995;17045;16876;16897,49;FONDO BURSATIL ISHARES COLCAP;EQTY
BCOLOMBIA;51860;-0,46;12390857920;238631;-240;51300;52280;51020;51924,76;BANCO BANCOLOMBIA;EQTY
PFGRUPSURA;38120;-0,63;10254237860;268984;-240;38300;38460;37660;38122,11;GRUPO SURA;EQTY
CEMARGOS;10560;-1,49;7820014360;748373;-160;10440;10680;10280;10449,35;CEMENTOS ARGOS;EQTY
CORFICOLCF;16300;0,87;5135919680;314988;140;16200;16600;16080;16305,13;CORFICOLOMBIANA;EQTY
ISA;20120;0,3;3613391360;181234;60;20000;20300;19440;19937,71;ISA INTERCONEXION ELECTRICA;EQTY
GRUPOSURA;42900;0,23;2438597000;57159;100;42900;43100;42020;42663,4;GRUPO SURA;EQTY
PFDAVVNDA;21320;0,38;2055850040;96623;80;20940;21800;20940;21277,03;BANCO DAVIVIENDA;EQTY
GRUPOARGOS;21500;-;1966241080;92164;-;21000;21700;21000;21334,16;GRUPO ARGOS;EQTY
EXITO;1960;3,16;1912655035;968905;60;1930;2000;1930;1974,04;EXITO;EQTY
GEB;2830;-0,53;1128748725;405391;-15;2840;2840;2750;2784,35;GRUPO ENERGIA BOGOTA;EQTY
MINEROS;6200;3,33;1020917160;165699;200;6000;6200;6000;6161,28;MINEROS;EQTY
PFAVAL;571;0,18;987902101;1728672;1;571;575;566;571,48;GRUPO AVAL ACCIONES Y VALORES;EQTY
CELSIA;3890;-0,64;936994365;240531;-25;3945;3955;3860;3895,52;CELSIA;EQTY
GRUBOLIVAR;72100;-0,83;650429240;8972;-600;72700;73760;71260;72495,46;GRUPO BOLIVAR;EQTY
CNEC;9600;-;483140160;50569;-;9620;9620;9500;9554,08;CANACOL ENERGY LTD;EQTY
PFCORFICOL;17000;-0,82;472117780;27641;-140;17280;17280;16980;17080,34;CORFICOLOMBIANA;EQTY
PEI;70640;-1,2;472107580;6667;-860;70800;70840;70640;70812,6;PEI;EQTY
BOGOTA;30100;-1,31;306699020;10169;-400;30400;30400;30000;30160,19;BANCO DE BOGOTA;EQTY
BVC;11820;0,51;241636100;20695;60;11500;11820;11500;11676,06;BOLSA DE VALORES DE COLOMBIA;EQTY
TERPEL;11160;-0,36;155008080;13934;-40;11180;11180;11100;11124,45;ORGANIZACION TERPEL;EQTY
PROMIGAS;6620;-;134517010;20300;-;6600;6620;6600;6626,45;PROMIGAS;EQTY
GRUPOAVAL;563;0,18;129839954;228089;1;573;575;563;569,25;GRUPO AVAL ACCIONES Y VALORES;EQTY
PFCEMARGOS;10440;-4,22;121753400;11739;-460;10320;10440;9840;10371,7;CEMENTOS ARGOS;EQTY
ENKA;17,1;0,59;121389245,3;7099711;0,1;17,2;17,2;17,1;17,1;ENKA DE COLOMBIA;EQTY
BHI;311;0,65;120989579;389819;2;310;311;310;310,37;BAC HOLDING INTERNATIONAL CORP;EQTY
CONCONCRET;472;-;60157211;127955;-;470;472;470;470,14;CONCONCRETO S.A;EQTY
NUTRESA;120000;0,82;47673220;401;980;118000;120000;118000;118885,84;GRUPO NUTRESA;EQTY
ETB;-;-;5587476,7;115233;-;-;-;-;48,49;ETB;EQTY
GXTESCOL;-;-;1383900;27;-;-;-;-;51255,56;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
HCOLSEL;-;-;1134631,5;64;-;-;-;-;17728,62;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
