Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
PFDAVVNDA;19900;-1,29;27153862460;1364498;-260;20020;20020;19880;19900,26;BANCO DAVIVIENDA;EQTY
GRUPOARGOS;16300;-1,57;20218230100;1225398;-260;16380;16500;16300;16499,32;GRUPO ARGOS;EQTY
ECOPETROL;2395;-0,42;7306447585;3034585;-10;2420;2430;2395;2407,73;ECOPETROL;EQTY
PFBCOLOM;33640;-0,77;7228059680;214218;-260;34000;34000;33580;33741,61;BANCO BANCOLOMBIA;EQTY
ICOLCAP;13720;-0,44;6301138350,5;459162;-60;13740;13740;13708;13723,13;FONDO BURSATIL ISHARES COLCAP;EQTY
ISA;17620;-0,45;2457068220;139578;-80;17720;17720;17520;17603,55;ISA INTERCONEXION ELECTRICA;EQTY
BCOLOMBIA;35000;-;1735088740;49593;-;35160;35200;34860;34986,57;BANCO BANCOLOMBIA;EQTY
HCOLSEL;14620;-0,69;1382432080;94684;-102;14600;14620;14600;14600,48;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
CEMARGOS;8180;0,25;1351274140;165669;20;8170;8180;8130;8156,47;CEMENTOS ARGOS;EQTY
PFGRUPSURA;24840;0,73;778058680;31736;180;24600;24980;24100;24516,6;GRUPO SURA;EQTY
PEI;78640;-2,6;575230000;7315;-2100;78000;79000;78000;78637,05;PEI;EQTY
CELSIA;4050;-;564771170;138890;-;4065;4100;4050;4066,32;CELSIA;EQTY
BOGOTA;27400;-0,36;555495280;20371;-100;27400;27800;27000;27268,93;BANCO DE BOGOTA;EQTY
PFAVAL;439;-0,9;438437727;997912;-4;438;442;438;439,36;GRUPO AVAL ACCIONES Y VALORES;EQTY
BHI;281;-1,06;397134150;1413874;-3;283;283;279;280,88;BAC HOLDING INTERNATIONAL CORP;EQTY
CORFICOLCF;14500;-1,89;349141200;24622;-280;14220;14560;14000;14180,05;CORFICOLOMBIANA;EQTY
GEB;2525;-0,2;335362855;133070;-5;2510;2525;2510;2520,2;GRUPO ENERGIA BOGOTA;EQTY
PROMIGAS;7170;0,7;276066580;38704;50;7120;7170;7120;7132,77;PROMIGAS;EQTY
MINEROS;3200;0,47;253684755;79631;15;3185;3200;3180;3185,75;MINEROS;EQTY
PFCORFICOL;13420;-3,45;185835420;13694;-480;13600;13800;13320;13570,57;CORFICOLOMBIANA;EQTY
GRUPOSURA;35860;-0,11;184247640;5236;-40;35400;35860;34680;35188,62;GRUPO SURA;EQTY
GRUBOLIVAR;61600;-0,03;182738100;2967;-20;61620;61620;61600;61590,19;GRUPO BOLIVAR;EQTY
ENKA;16;-5,88;182573725,7;11347724;-1;16,3;16,3;16;16,09;ENKA DE COLOMBIA;EQTY
EXITO;2255;0,67;129818950;57677;15;2245;2255;2245;2250,79;EXITO;EQTY
PFGRUPOARG;11820;-;83142880;7047;-;11820;11820;11760;11798,34;GRUPO ARGOS;EQTY
NUTRESA;55540;0,36;66325820;1174;200;57880;57880;55540;56495,59;GRUPO NUTRESA;EQTY
TERPEL;9000;-1,42;64349850;7072;-130;9150;9150;9000;9099,24;ORGANIZACION TERPEL;EQTY
CONCONCRET;303;-1,94;46720518;153692;-6;302;303;302;303,99;CONCONCRETO S.A;EQTY
BVC;-;-;14331200;1352;-;-;-;-;10600;BOLSA DE VALORES DE COLOMBIA;EQTY
GRUPOAVAL;-;-;6093077;14025;-;-;-;-;434,44;GRUPO AVAL ACCIONES Y VALORES;EQTY
GXTESCOL;-;-;2211750;45;-;-;-;-;49150;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
CNEC;-;-;1942300;161;-;-;-;-;12063,98;CANACOL ENERGY LTD;EQTY
FABRICATO;-;-;1399948,62;476173;-;-;-;-;2,94;FABRICATO;EQTY
PFCEMARGOS;-;-;902050;122;-;-;-;-;7393,85;CEMENTOS ARGOS;EQTY
ETB;-;-;265668;2988;-;-;-;-;88,91;ETB;EQTY
