Nemotécnico;Último precio;Variación porcentual;Volúmenes;Cantidad;Variación absoluta;Precio apertura;Precio máximo;Precio mínimo;Precio promedio;Emisor / nombre
ECOPETROL;2430;1,25;17489310015;7160858;30;2435;2510;2420;2442,35;ECOPETROL;EQTY
PFBCOLOM;33700;0,6;8648186680;255625;200;33700;34020;33660;33831,54;BANCO BANCOLOMBIA;EQTY
ISA;17600;0,46;6730618840;382291;80;17780;17860;17500;17606,01;ISA INTERCONEXION ELECTRICA;EQTY
ICOLCAP;13740;-0,07;3460641598,5;251501;-10;13758;13775;13690,5;13759,95;FONDO BURSATIL ISHARES COLCAP;EQTY
CEMARGOS;8220;0,49;2973814620;361525;40;8150;8270;8150;8225,75;CEMENTOS ARGOS;EQTY
BCOLOMBIA;34740;-0,06;2885469720;82714;-20;34760;35080;34740;34884,9;BANCO BANCOLOMBIA;EQTY
PEI;76580;-3,62;1981833900;25885;-2880;76540;77140;76500;76563,02;PEI;EQTY
GEB;2505;-0,79;871284605;345927;-20;2530;2530;2505;2518,69;GRUPO ENERGIA BOGOTA;EQTY
GRUPOARGOS;16660;0,97;783975380;47277;160;16500;16660;16500;16582,6;GRUPO ARGOS;EQTY
CELSIA;4020;-2,31;724167690;178166;-95;4055;4080;4020;4064,57;CELSIA;EQTY
MINEROS;3200;0,31;620980950;193499;10;3230;3240;3185;3209,22;MINEROS;EQTY
PFDAVVNDA;19860;-0,2;473675400;23688;-40;20380;20380;19340;19996,43;BANCO DAVIVIENDA;EQTY
PFGRUPSURA;24340;-2,01;471464420;19346;-500;24300;24640;24220;24370,12;GRUPO SURA;EQTY
TERPEL;8900;-1,11;377630890;42406;-100;8900;8900;8900;8905,13;ORGANIZACION TERPEL;EQTY
PFAVAL;436;-;336724446;774337;-;439;439;431;434,86;GRUPO AVAL ACCIONES Y VALORES;EQTY
CORFICOLCF;14200;-1,53;261457800;18162;-220;14500;14500;14200;14395,87;CORFICOLOMBIANA;EQTY
BHI;285;1,79;244152117;864365;5;281;285;281;282,46;BAC HOLDING INTERNATIONAL CORP;EQTY
ENKA;16;-;236646041,7;14766527;-;16;16,1;16;16,03;ENKA DE COLOMBIA;EQTY
PFGRUPOARG;11780;0,17;150809680;12813;20;11680;11800;11680;11770,05;GRUPO ARGOS;EQTY
GRUPOSURA;35740;-0,22;134122460;3763;-80;34020;35800;34020;35642,43;GRUPO SURA;EQTY
PROMIGAS;7150;-0,28;104111780;14550;-20;7150;7160;7150;7155,45;PROMIGAS;EQTY
CNEC;12140;-1,62;102047560;8356;-200;12220;12220;12140;12212,49;CANACOL ENERGY LTD;EQTY
BOGOTA;27460;1,7;99658220;3647;460;27380;27460;27040;27326,08;BANCO DE BOGOTA;EQTY
EXITO;2250;-0,44;97042090;43249;-10;2255;2255;2250;2243,8;EXITO;EQTY
NUTRESA;55300;-0,43;84930840;1543;-240;55500;55500;55280;55042,67;GRUPO NUTRESA;EQTY
GRUBOLIVAR;60360;-2,61;55082520;905;-1620;61000;61000;60360;60864,66;GRUPO BOLIVAR;EQTY
CONCONCRET;305;0,66;46410871;153805;2;301;305;301;301,75;CONCONCRETO S.A;EQTY
BVC;-;-;24603980;2324;-;-;-;-;10586,91;BOLSA DE VALORES DE COLOMBIA;EQTY
PFCORFICOL;-;-;23133980;1708;-;-;-;-;13544,48;CORFICOLOMBIANA;EQTY
GRUPOAVAL;-;-;8590474;19510;-;-;-;-;440,31;GRUPO AVAL ACCIONES Y VALORES;EQTY
OCCIDENTE;13660;-;8469200;620;-;13660;13660;13660;13660;BANCO DE OCCIDENTE;EQTY
HCOLSEL;-;-;2795540;191;-;-;-;-;14636,34;FONDO BURSATIL GLOBAL X COLOMBIA SELECT DE S&P;EQTY
GXTESCOL;-;-;1825950;37;-;-;-;-;49350;FONDO BURSATIL GLOBAL X TES COLOMBIA COP GBI-EM ID ETF;EQTY
ETB;-;-;659736;7497;-;-;-;-;88;ETB;EQTY
PFCEMARGOS;-;-;591200;80;-;-;-;-;7390;CEMENTOS ARGOS;EQTY
ELCONDOR;-;-;100359;189;-;-;-;-;531;EL CONDOR;EQTY
